optimizer,benchmark,task,test_score_mean,test_score_std,tokens_mean,tokens_std,time_mean_s,gens_mean,n_seeds,n_errors
hpss,mmlu,college_mathematics,0.5000,0.0000,113951,3100,23.6,5.0,3,0
hpss,mmlu,formal_logic,0.6167,0.0115,168667,54213,34.0,6.7,3,0
hpss,mmlu,high_school_biology,0.8800,0.0000,187154,5773,36.1,5.0,3,0
hpss,mmlu,machine_learning,0.5900,0.0000,114030,3128,23.4,5.0,3,0
hpss,mmlu,moral_scenarios,0.3400,0.0000,238868,24592,45.7,6.0,3,0
hpss,mmlu,philosophy,0.7700,0.0000,167453,108,32.3,5.0,3,0
plum,bbh,causal_judgement,0.5426,0.0369,519919,112719,126.1,9.0,3,0
plum,bbh,disambiguation_qa,0.4967,0.0058,104527,8004,48.0,5.0,3,0
plum,bbh,dyck_languages,0.3467,0.0306,222444,79538,134.2,7.3,3,0
plum,bbh,formal_fallacies,0.6400,0.0608,250924,56957,75.2,7.7,3,0
plum,bbh,hyperbaton,0.8733,0.0153,202938,72193,82.0,9.0,3,0
plum,bbh,logical_deduction_five_objects,0.5633,0.0252,166739,20678,61.0,7.0,3,0
plum,bbh,object_counting,0.4700,0.0200,166434,28231,58.6,8.7,3,0
plum,bbh,reasoning_about_colored_objects,0.6300,0.0265,249041,140831,78.3,6.3,3,0
plum,bbh,salient_translation_error_detection,0.5667,0.0208,186563,24074,72.0,6.0,3,0
plum,bbh,word_sorting,0.0433,0.0058,78138,4647,33.8,5.0,3,0
plum,gsm8k,gsm8k,0.6000,0.0200,164816,8573,336.0,6.0,3,0
plum,humaneval,humaneval,0.7576,0.0000,147410,8643,413.6,5.0,3,0
plum,mmlu,abstract_algebra,0.5900,0.0000,63492,119,34.5,5.0,3,0
plum,mmlu,college_computer_science,0.7000,0.0000,93752,9199,40.0,5.0,3,0
plum,mmlu,college_mathematics,0.5000,0.0000,85934,5179,38.0,5.0,3,0
plum,mmlu,formal_logic,0.6100,0.0000,109913,6475,43.4,5.0,3,0
plum,mmlu,high_school_biology,0.8800,0.0000,124908,11167,44.9,5.0,3,0
plum,mmlu,machine_learning,0.5900,0.0000,71451,6078,35.8,5.0,3,0
plum,mmlu,moral_scenarios,0.3400,0.0000,104944,5427,43.0,5.0,3,0
plum,mmlu,philosophy,0.7700,0.0000,105197,4751,40.3,5.0,3,0
promptbreeder,bbh,causal_judgement,0.5816,0.0546,2038183,558564,640.2,7.0,3,0
promptbreeder,bbh,disambiguation_qa,0.5500,0.0100,842915,138597,424.8,6.0,3,0
promptbreeder,bbh,dyck_languages,0.3767,0.0379,930190,123500,568.3,6.7,3,0
promptbreeder,bbh,formal_fallacies,0.6700,0.0265,1338722,78828,554.8,8.0,3,0
promptbreeder,bbh,hyperbaton,0.8800,0.0624,823617,140103,429.0,7.3,3,0
promptbreeder,bbh,logical_deduction_five_objects,0.5133,0.0551,1258693,91634,630.9,6.7,3,0
promptbreeder,bbh,object_counting,0.4467,0.0586,806191,184582,434.0,7.0,3,0
promptbreeder,bbh,reasoning_about_colored_objects,0.6167,0.0289,1305223,58703,612.9,8.0,3,0
promptbreeder,bbh,salient_translation_error_detection,0.5600,0.0200,1833768,211350,796.4,7.7,3,0
promptbreeder,bbh,word_sorting,0.0467,0.0153,652887,93246,353.2,5.3,3,0
promptbreeder,gsm8k,gsm8k,0.8533,0.0231,1552425,137920,3541.5,8.0,3,0
promptbreeder,humaneval,humaneval,0.7273,0.0000,1341631,206826,4070.0,4.3,3,0
promptbreeder,mmlu,abstract_algebra,0.5767,0.0115,365011,34405,297.4,5.0,3,0
promptbreeder,mmlu,college_computer_science,0.6533,0.0153,664927,168152,495.2,7.0,3,0
promptbreeder,mmlu,college_mathematics,0.4300,0.0200,611942,68416,486.9,7.3,3,0
promptbreeder,mmlu,formal_logic,0.6067,0.0058,938136,61160,713.2,9.3,3,0
promptbreeder,mmlu,high_school_biology,0.8800,0.0000,1004072,267009,501.8,7.0,3,0
promptbreeder,mmlu,machine_learning,0.5367,0.0153,575911,159088,461.8,6.3,3,0
promptbreeder,mmlu,moral_scenarios,0.3200,0.0100,1189784,253841,669.5,7.7,3,0
promptbreeder,mmlu,philosophy,0.7500,0.0458,809725,296348,435.5,6.0,3,0
see,bbh,causal_judgement,0.5674,0.0163,1090476,235238,747.0,2.0,3,0
see,bbh,disambiguation_qa,0.4967,0.0058,478119,66104,454.4,2.0,3,0
see,bbh,dyck_languages,0.4500,0.0100,669772,87256,697.1,2.0,3,0
see,bbh,formal_fallacies,0.5900,0.0500,668328,145624,554.4,2.0,3,0
see,bbh,hyperbaton,0.8967,0.0416,638892,140313,675.5,2.0,3,0
see,bbh,logical_deduction_five_objects,0.4633,0.0351,707648,145929,552.1,2.0,3,0
see,bbh,object_counting,0.4733,0.0321,401344,41730,307.8,2.0,3,0
see,bbh,reasoning_about_colored_objects,0.5867,0.0252,699654,168701,616.3,2.0,3,0
see,bbh,salient_translation_error_detection,0.5333,0.0153,1022408,116859,808.0,2.0,3,0
see,bbh,word_sorting,0.0433,0.0058,338871,33215,294.7,2.0,3,0
see,gsm8k,gsm8k,0.8367,0.0058,822061,189367,1843.7,2.0,3,0
see,humaneval,humaneval,0.7778,0.0175,844827,174898,2313.3,2.0,3,0
see,mmlu,abstract_algebra,0.5900,0.0000,237049,21218,318.0,2.0,3,0
see,mmlu,college_computer_science,0.6467,0.0153,436763,38892,556.1,2.0,3,0
see,mmlu,college_mathematics,0.4767,0.0252,329590,78468,433.8,2.0,3,0
see,mmlu,formal_logic,0.5933,0.0351,469450,52120,551.6,2.0,3,0
see,mmlu,high_school_biology,0.8800,0.0000,478264,6602,410.1,2.0,2,0
see,mmlu,machine_learning,0.5500,0.0361,294372,39640,354.5,2.0,3,0
see,mmlu,moral_scenarios,0.3267,0.0416,644462,80151,568.6,2.0,3,0
see,mmlu,philosophy,0.7700,0.0000,385870,27652,312.3,2.0,3,0
